,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580029,0,580064,0/3,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580032,0,580052,0/3,0,0,10000,0.9,0.9,30,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580023,0,580045,0/3,0,0,1,0.9999,0.5,10,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580026,0,580047,0/3,0,0,1,0.8,0.5,30,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580009,0,580029,0/3,0,0,10,0.999999,0.9,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580025,0,580043,0/3,0,0,10000,0.9999,0.1,15,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580011,0,580028,0/3,0,0,10000,0.99,0.7,15,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580014,0,580037,0/3,0,0,1,0.9,0.7,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580019,0,580040,0/3,0,0,1,0.9999,0.7,20,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580036,0,580059,0/3,0,0,1,0.9,0.5,30,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580020,0,580039,0/3,0,0,10000,0.9999,0.1,30,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580017,0,580039,0/3,0,0,1,0.9999,0.1,30,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580008,0,580027,0/3,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580019,0,580042,0/3,0,0,1,0.9999,0.1,30,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580034,0,580054,0/3,0,0,1,0.99,0.1,30,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580028,0,580053,0/3,0,0,1,0.99,0.1,30,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580036,0,580055,0/3,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580013,0,580034,0/3,0,0,1,0.99,0.1,30,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580034,0,580053,0/3,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580036,0,580058,0/3,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580033,0,580053,0/3,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580054,0,580078,0/3,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580038,0,580058,0/3,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580013,0,580036,0/3,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580038,0,580057,0/3,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580027,0,580051,0/3,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580030,0,580053,0/3,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580026,0,580050,0/3,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580024,0,580042,0/3,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580072,0,580094,0/3,0,0,1,0.99,0.1,10,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580038,0,580057,0/3,0,0,1,0.99,0.1,10,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580036,0,580060,0/3,0,0,1,0.99,0.1,10,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580028,0,580047,0/3,0,0,1,0.99,0.1,10,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580006,0,580030,0/3,0,0,1,0.99,0.1,10,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580008,0,580028,0/3,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580027,0,580049,0/3,0,0,1,0.99,0.1,10,50000,10000,10
0,TC0_example,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,6,10,9,477,16,461,405,,2.456,14.000000000000002,580011,0,580031,0/3,0,0,1,0.99,0.1,10,50000,10000,10
