,Index,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
1,0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580035,0,580060,0/4,0,0,10000,0.999999,0.1,5,50000,10000,5.0
0,0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580041,0/1,0,0,100000000,0.999999,0.1,5,50000,10000,
0,0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580173,0,580194,0/5,0,0,100000000,0.999999,0.1,5,50000,10000,
0,0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580103,0,580127,0/7,0,0,100000000,0.999999,0.1,5,50000,10000,
0,0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580358,0,580387,0/10,0,0,100000000,0.999999,0.1,5,50000,10000,
56,0,small3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,29,48,35,13781,74,13707,13619,,0.03,7.71,580322,0,580348,0/12,0,0,1,0.9,0.9,15,50000,10000,
598,0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,22883,58,22825,22727,,0.007312546031746028,4.879625000000001,580086,0,580115,0/14,0,0,1,0.9,0.7,5,50000,10000,5.0
53,0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19455,76,19379,19253,,0.02,4.69,580619,0,580645,0/12,0,0,1,0.9,0.9,15,50000,10000,
55,0,medium3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,36,53,47,26486,91,26395,26290,,0.01,6.09,580872,0,580909,0/13,0,0,1,0.9,0.9,15,50000,10000,
66,0,large1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,47,86,73,43872,194,43678,43459,,0.01028860436137072,4.023864583333333,580467,1,580520,0/21,0,0,1,0.99,0.1,10,50000,10000,1000.0
37,0,large2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,37,77,72,41071,138,40933,40815,,0.004737479452054794,4.457479166666666,1781187,1,1781240,0/22,0,0,1000000,0.8,0.9,15,50000,10000,
51,0,large3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,32,16,69,170,104,34860,364,34496,34135,,0.02715293896713616,5.520697916666666,581547,79,581647,0/25,0,0,1,0.9999,0.7,20,50000,10000,10.0
79,0,huge1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,64,32,84,183,133,73070,544,72526,72181,,0.018623428127428128,3.8616249999999988,584123,422,584273,0/43,0,0,1,0.99,0.1,10,50000,10000,10.0
102,0,huge2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,64,32,99,213,161,57246,650,56596,56183,,0.01920120959010054,4.723291666666668,585919,3,586096,0/36,0,0,1,0.99,0.1,30,50000,10000,1000.0
113,0,huge3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,64,32,99,197,169,93357,531,92826,92557,,0.01839733021077285,5.203942708333333,582424,2,582557,0/39,0,0,1,0.99,0.1,10,50000,10000,10.0
72,0,giant1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,128,64,144,347,261,101799,1366,100433,99812,,0.0228910904152115,3.705229166666667,1187848,10,1188149,0/64,0,0,10000,0.999999,0.1,5,50000,10000,5.0
12,0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,244823,3488,241335,229835,app180,0.037236199376946985,5.133284722222227,1247468,0,1248054,1/137,0,0,10000,0.999999,0.1,5,50000,10000,5
49,0,giant3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,256,128,600,1264,1028,565472,6903,558569,544823,app660,0.05931229310009711,7.513735677083331,1430807,0,1431890,1/261,0,0,1,0.9999,0.1,30,50000,10000,10.0
